,count,mean,std,min,25%,50%,75%,max
iOS,208.0,19.786454326855768,14.765471607769781,2.266666667,8.33208333325,14.957083335,26.336666665,64.35833333
OSX,208.0,14.846217948860575,8.751797930571216,1.435,7.89499999975,12.578333335,21.0645833325,36.85416667
Android,208.0,78.82514423076924,14.14688021654885,34.8625,73.3306249975,83.934583335,88.863125,97.625
Windows,208.0,78.31535657028847,8.590619390873396,55.06,71.7822916675,78.5075,85.25666667,95.62166667
island,208.0,0.32211538461538464,0.468414270332426,0.0,0.0,0.0,1.0,1.0
store,208.0,0.1201923076923077,0.3259708080028197,0.0,0.0,0.0,0.0,1.0
percapita_log,208.0,3.836823624783654,0.6413734420202009,2.0750316,3.3620861900000003,3.841424439,4.36097562675,5.255822581
share_square,208.0,77.27403846153847,25.43376163596402,2.0,72.5,87.0,91.0,103.0
LangCount,208.0,1.6394230769230769,1.7936505440713617,1.0,1.0,1.0,2.0,23.0
EthnicCount,208.0,2.6923076923076925,2.1016530097680524,1.0,1.0,2.0,4.0,23.0
ReliCount,208.0,2.514423076923077,1.3795552226756793,1.0,1.0,2.0,3.0,7.0
