,country,iOS,Android,OSX,island
1761,Monaco,64.36,34.86,33.92,0
1327,Japan,63.54,36.29,21.98,1
1565,Macao,63.27,35.57,30.23,1
865,Faroe Islands,59.59,40.25,27.32,1
2797,United States,59.51,40.30,27.54,0
1271,Isle of Man,56.54,42.40,26.42,1
1985,Norway,55.52,44.27,27.56,0
711,Denmark,55.02,44.80,34.16,0
305,Bermuda,54.02,45.56,30.37,1
151,Australia,53.37,46.28,31.77,1
1523,Liechtenstein,51.45,48.19,28.38,0
501,Cayman Islands,51.27,48.42,30.03,1
473,Canada,50.98,48.65,25.87,0
2531,Switzerland,50.38,49.23,32.73,0
2895,Virgin Islands U.S,50.37,49.34,26.48,1
2517,Sweden,50.32,49.45,24.92,0
1005,Gibraltar,50.02,49.65,30.40,0
